Cluster;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count;geneSymbol
TprogWTopen;GO:0002573;myeloid leukocyte differentiation;7/90;277/28564;2,81210068364854e-05;4,87665126889383e-03;3,79140241295421e-03;18103/16364/16416/19055/234515/12394/17684;7;Nme2/Irf4/Itgb3/Ppp3ca/Inpp4b/Runx1/Cited2
TprogWTopen;GO:0002643;regulation of tolerance induction;3/90;20/28564;3,31695143797279e-05;5,30967380186260e-03;4,12806021065925e-03;18566/12394/98432;3;Pdcd1/Runx1/Phlpp1
TprogWTopen;GO:0001954;positive regulation of cell-matrix adhesion;4/90;67/28564;6,06889189545465e-05;9,02097431031509e-03;7,01344875437128e-03;16416/20194/18762/22288;4;Itgb3/S100a10/Prkcz/Utrn
TprogWTopen;GO:0032753;positive regulation of interleukin-4 production;3/90;26/28564;7,46212151481486e-05;1,03524499148865e-02;8,04861808299680e-03;16364/50723/18762;3;Irf4/Icosl/Prkcz
TprogWTopen;GO:0030217;T cell differentiation;7/90;331/28564;8,63832119425994e-05;1,12352165032843e-02;8,73493399709048e-03;12193/16364/12393/18762/12394/12505/13024;7;Zfp36l2/Irf4/Runx2/Prkcz/Runx1/Cd44/Ctla2a
TprogWTopen;GO:0045637;regulation of myeloid cell differentiation;6/90;236/28564;1,04169270017663e-04;1,22349482352929e-02;9,51218565853721e-03;18103/16416/23871/19055/234515/12394;6;Nme2/Itgb3/Ets1/Ppp3ca/Inpp4b/Runx1
TprogWTopen;GO:0051251;positive regulation of lymphocyte activation;7/90;342/28564;1,05828480651260e-04;1,22349482352929e-02;9,51218565853721e-03;50723/16423/19055/77777/18762/12394/54167;7;Icosl/Cd47/Ppp3ca/Ulbp1/Prkcz/Runx1/Icos
TprogWTopen;GO:0002761;regulation of myeloid leukocyte differentiation;5/90;152/28564;1,21991820406777e-04;1,33613146456054e-02;1,03878907459953e-02;18103/16416/19055/234515/12394;5;Nme2/Itgb3/Ppp3ca/Inpp4b/Runx1
TprogWTopen;GO:0030098;lymphocyte differentiation;8/90;478/28564;1,35467494771583e-04;1,40953928309832e-02;1,09586073402065e-02;12193/16364/102545/12393/18762/12394/12505/13024;8;Zfp36l2/Irf4/Cmtm7/Runx2/Prkcz/Runx1/Cd44/Ctla2a
TprogWTopen;GO:0050870;positive regulation of T cell activation;6/90;252/28564;1,48942038731546e-04;1,45774746279860e-02;1,13334067645689e-02;50723/16423/19055/18762/12394/54167;6;Icosl/Cd47/Ppp3ca/Prkcz/Runx1/Icos
TprogWTopen;GO:0032673;regulation of interleukin-4 production;3/90;33/28564;1,54110736095960e-04;1,45774746279860e-02;1,13334067645689e-02;16364/50723/18762;3;Irf4/Icosl/Prkcz
TprogWTopen;GO:0034103;regulation of tissue remodeling;4/90;87/28564;1,67987237451624e-04;1,51457141644786e-02;1,17751904048173e-02;16416/19055/234515/109934;4;Itgb3/Ppp3ca/Inpp4b/Abr
TprogWTopen;GO:1904062;regulation of monoatomic cation transmembrane transport;7/90;371/28564;1,74674262348624e-04;1,51457141644786e-02;1,17751904048173e-02;18803/16416/12766/432442/19055/14360/93692;7;Plcg1/Itgb3/Cxcr3/Akap7/Ppp3ca/Fyn/Glrx
TprogWTopen;GO:0002821;positive regulation of adaptive immune response;5/90;172/28564;2,17130746851971e-04;1,80739633679581e-02;1,40517877015360e-02;16992/329260/77777/18762/12505;5;Lta/Dennd1b/Ulbp1/Prkcz/Cd44
TprogWTopen;GO:1904064;positive regulation of cation transmembrane transport;5/90;174/28564;2,29076182311795e-04;1,80894249459941e-02;1,40638084635387e-02;18803/12766/432442/19055/93692;5;Plcg1/Cxcr3/Akap7/Ppp3ca/Glrx
TprogWTopen;GO:0002757;immune response-activating signaling pathway;7/90;391/28564;2,40501636747379e-04;1,80894249459941e-02;1,40638084635387e-02;18803/16364/50723/16423/329260/14360/14581;7;Plcg1/Irf4/Icosl/Cd47/Dennd1b/Fyn/Gfi1
TprogWTopen;GO:0044344;cellular response to fibroblast growth factor stimulus;4/90;97/28564;2,55298570653081e-04;1,80894249459941e-02;1,40638084635387e-02;12193/12393/12505/14733;4;Zfp36l2/Runx2/Cd44/Gpc1
TprogWTopen;GO:0032633;interleukin-4 production;3/90;40/28564;2,74657368436132e-04;1,80894249459941e-02;1,40638084635387e-02;16364/50723/18762;3;Irf4/Icosl/Prkcz
TprogWTopen;GO:0045766;positive regulation of angiogenesis;5/90;181/28564;2,74863778309965e-04;1,80894249459941e-02;1,40638084635387e-02;18803/16416/23871/12766/12394;5;Plcg1/Itgb3/Ets1/Cxcr3/Runx1
TprogWTopen;GO:1904018;positive regulation of vasculature development;5/90;181/28564;2,74863778309965e-04;1,80894249459941e-02;1,40638084635387e-02;18803/16416/23871/12766/12394;5;Plcg1/Itgb3/Ets1/Cxcr3/Runx1
TprogWTopen;GO:0002764;immune response-regulating signaling pathway;7/90;402/28564;2,84452993948476e-04;1,80894249459941e-02;1,40638084635387e-02;18803/16364/50723/16423/329260/14360/14581;7;Plcg1/Irf4/Icosl/Cd47/Dennd1b/Fyn/Gfi1
TprogWTopen;GO:0071774;response to fibroblast growth factor;4/90;100/28564;2,86857771849017e-04;1,80894249459941e-02;1,40638084635387e-02;12193/12393/12505/14733;4;Zfp36l2/Runx2/Cd44/Gpc1
TprogWTopen;GO:0002696;positive regulation of leukocyte activation;7/90;408/28564;3,11020315458056e-04;1,90362728373005e-02;1,47999450420753e-02;50723/16423/19055/77777/18762/12394/54167;7;Icosl/Cd47/Ppp3ca/Ulbp1/Prkcz/Runx1/Icos
TprogWTopen;GO:0097553;calcium ion transmembrane import into cytosol;5/90;193/28564;3,69140627852448e-04;2,19480470445984e-02;1,70637336844876e-02;18803/16416/12766/19055/14360;5;Plcg1/Itgb3/Cxcr3/Ppp3ca/Fyn
TprogWTopen;GO:0050867;positive regulation of cell activation;7/90;430/28564;4,26007618195159e-04;2,46256070406701e-02;1,91454300925719e-02;50723/16423/19055/77777/18762/12394/54167;7;Icosl/Cd47/Ppp3ca/Ulbp1/Prkcz/Runx1/Icos
TprogWTopen;GO:1903169;regulation of calcium ion transmembrane transport;5/90;201/28564;4,44367531937556e-04;2,49926711881636e-02;1,94308078687916e-02;18803/16416/12766/19055/14360;5;Plcg1/Itgb3/Cxcr3/Ppp3ca/Fyn
TprogWTopen;GO:0034767;positive regulation of monoatomic ion transmembrane transport;5/90;206/28564;4,96920272319356e-04;2,68999111367731e-02;2,09136110762641e-02;18803/12766/432442/19055/93692;5;Plcg1/Cxcr3/Akap7/Ppp3ca/Glrx
TprogWTopen;GO:0045639;positive regulation of myeloid cell differentiation;4/90;116/28564;5,04130963159130e-04;2,68999111367731e-02;2,09136110762641e-02;16416/23871/19055/12394;4;Itgb3/Ets1/Ppp3ca/Runx1
TprogWTopen;GO:0048771;tissue remodeling;5/90;212/28564;5,66010688425494e-04;2,87337314021437e-02;2,23393333999822e-02;16416/19055/14613/234515/109934;5;Itgb3/Ppp3ca/Gja5/Inpp4b/Abr
TprogWTopen;GO:1902106;negative regulation of leukocyte differentiation;4/90;121/28564;5,91027223472412e-04;2,87337314021437e-02;2,23393333999822e-02;18103/234515/12394/12505;4;Nme2/Inpp4b/Runx1/Cd44
TprogWTopen;GO:0050798;activated T cell proliferation;3/90;52/28564;5,97820821928686e-04;2,87337314021437e-02;2,23393333999822e-02;50723/19055/14360;3;Icosl/Ppp3ca/Fyn
TprogWTopen;GO:0002664;regulation of T cell tolerance induction;2/90;12/28564;6,34794689238044e-04;2,87337314021437e-02;2,23393333999822e-02;12394/98432;2;Runx1/Phlpp1
TprogWTopen;GO:1905941;positive regulation of gonad development;2/90;12/28564;6,34794689238044e-04;2,87337314021437e-02;2,23393333999822e-02;12394/17684;2;Runx1/Cited2
TprogWTopen;GO:2000551;regulation of T-helper 2 cell cytokine production;2/90;12/28564;6,34794689238044e-04;2,87337314021437e-02;2,23393333999822e-02;329260/18762;2;Dennd1b/Prkcz
TprogWTopen;GO:0010959;regulation of metal ion transport;7/90;460/28564;6,35152159778284e-04;2,87337314021437e-02;2,23393333999822e-02;18803/16416/12766/432442/19055/14360/93692;7;Plcg1/Itgb3/Cxcr3/Akap7/Ppp3ca/Fyn/Glrx
TprogWTopen;GO:0032649;regulation of type II interferon production;4/90;125/28564;6,67814982694132e-04;2,89525620622185e-02;2,25094655351070e-02;16992/16423/77777/12394;4;Lta/Cd47/Ulbp1/Runx1
TprogWTopen;GO:1903707;negative regulation of hemopoiesis;4/90;125/28564;6,67814982694132e-04;2,89525620622185e-02;2,25094655351070e-02;18103/234515/12394/12505;4;Nme2/Inpp4b/Runx1/Cd44
TprogWTopen;GO:0045619;regulation of lymphocyte differentiation;5/90;222/28564;6,96892678751250e-04;2,94979521747835e-02;2,29334846569929e-02;12193/18762/12394/12505/13024;5;Zfp36l2/Prkcz/Runx1/Cd44/Ctla2a
TprogWTopen;GO:0035710;CD4-positive, alpha-beta T cell activation;4/90;127/28564;7,08744646198546e-04;2,94979521747835e-02;2,29334846569929e-02;16364/18762/12394/12505;4;Irf4/Prkcz/Runx1/Cd44
TprogWTopen;GO:0001952;regulation of cell-matrix adhesion;4/90;130/28564;7,73424046173838e-04;3,13175275876814e-02;2,43481321744436e-02;16416/20194/18762/22288;4;Itgb3/S100a10/Prkcz/Utrn
TprogWTopen;GO:0044060;regulation of endocrine process;3/90;57/28564;7,82561957981467e-04;3,13175275876814e-02;2,43481321744436e-02;12952/14613/12394;3;Cry1/Gja5/Runx1
TprogWTopen;GO:0002253;activation of immune response;7/90;482/28564;8,34942783522602e-04;3,27833194813308e-02;2,54877270759531e-02;18803/16364/50723/16423/329260/14360/14581;7;Plcg1/Irf4/Icosl/Cd47/Dennd1b/Fyn/Gfi1
TprogWTopen;GO:0042391;regulation of membrane potential;7/90;488/28564;8,97251457555596e-04;3,45774126513555e-02;2,68825631630205e-02;20405/432442/19055/14613/18762/65106/93692;7;Sh3gl1/Akap7/Ppp3ca/Gja5/Prkcz/Arl6ip5/Glrx
TprogWTopen;GO:0034765;regulation of monoatomic ion transmembrane transport;7/90;492/28564;9,40792275438826e-04;3,55961586397854e-02;2,76745976526215e-02;18803/16416/12766/432442/19055/14360/93692;7;Plcg1/Itgb3/Cxcr3/Akap7/Ppp3ca/Fyn/Glrx
TprogWTopen;GO:0050852;T cell receptor signaling pathway;4/90;138/28564;9,66152863616271e-04;3,58502962599706e-02;2,78721795450440e-02;18803/50723/329260/14360;4;Plcg1/Icosl/Dennd1b/Fyn
TprogWTopen;GO:0032609;type II interferon production;4/90;139/28564;9,92407598156644e-04;3,58502962599706e-02;2,78721795450440e-02;16992/16423/77777/12394;4;Lta/Cd47/Ulbp1/Runx1
TprogWTopen;GO:0032736;positive regulation of interleukin-13 production;2/90;15/28564;1,00370617180590e-03;3,58502962599706e-02;2,78721795450440e-02;16364/18762;2;Irf4/Prkcz
TprogWTopen;GO:0071560;cellular response to transforming growth factor beta stimulus;5/90;242/28564;1,02511473359346e-03;3,58502962599706e-02;2,78721795450440e-02;12193/14360/53618/12394/17684;5;Zfp36l2/Fyn/Fut8/Runx1/Cited2
TprogWTopen;GO:0042098;T cell proliferation;5/90;243/28564;1,04408344996936e-03;3,58502962599706e-02;2,78721795450440e-02;50723/19055/14360/12505/27027;5;Icosl/Ppp3ca/Fyn/Cd44/Tspan32
TprogWTopen;GO:0010811;positive regulation of cell-substrate adhesion;4/90;142/28564;1,07418016502329e-03;3,58502962599706e-02;2,78721795450440e-02;16416/20194/18762/22288;4;Itgb3/S100a10/Prkcz/Utrn
TprogWTopen;GO:0002762;negative regulation of myeloid leukocyte differentiation;3/90;64/28564;1,09673752847603e-03;3,58502962599706e-02;2,78721795450440e-02;18103/234515/12394;3;Nme2/Inpp4b/Runx1
TprogWTopen;GO:0032653;regulation of interleukin-10 production;3/90;64/28564;1,09673752847603e-03;3,58502962599706e-02;2,78721795450440e-02;16364/16423/18762;3;Irf4/Cd47/Prkcz
TprogWTopen;GO:0071559;response to transforming growth factor beta;5/90;246/28564;1,10255596378574e-03;3,58502962599706e-02;2,78721795450440e-02;12193/14360/53618/12394/17684;5;Zfp36l2/Fyn/Fut8/Runx1/Cited2
TprogWTopen;GO:0002819;regulation of adaptive immune response;5/90;249/28564;1,16342466519899e-03;3,71993664736584e-02;2,89210279825048e-02;16992/329260/77777/18762/12505;5;Lta/Dennd1b/Ulbp1/Prkcz/Cd44
TprogWTopen;GO:0002460;adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains;6/90;373/28564;1,17979730286471e-03;3,71993664736584e-02;2,89210279825048e-02;16992/16364/50723/329260/77777/18762;6;Lta/Irf4/Icosl/Dennd1b/Ulbp1/Prkcz
TprogWTopen;GO:0050727;regulation of inflammatory response;6/90;377/28564;1,24580500206050e-03;3,83291698223260e-02;2,97994051528440e-02;16992/23871/16423/12505/109934/13024;6;Lta/Ets1/Cd47/Cd44/Abr/Ctla2a
TprogWTopen;GO:0032613;interleukin-10 production;3/90;67/28564;1,25246686589052e-03;3,83291698223260e-02;2,97994051528440e-02;16364/16423/18762;3;Irf4/Cd47/Prkcz
TprogWTopen;GO:0016264;gap junction assembly;2/90;17/28564;1,29472005320496e-03;3,84901775817073e-02;2,99245822823461e-02;14613/74318;2;Gja5/Hopx
TprogWTopen;GO:0035745;T-helper 2 cell cytokine production;2/90;17/28564;1,29472005320496e-03;3,84901775817073e-02;2,99245822823461e-02;329260/18762;2;Dennd1b/Prkcz
TprogWTopen;GO:0050728;negative regulation of inflammatory response;4/90;153/28564;1,41460011609861e-03;4,14369484197827e-02;3,22155794133417e-02;23871/12505/109934/13024;4;Ets1/Cd44/Abr/Ctla2a
TprogWTopen;GO:0002830;positive regulation of type 2 immune response;2/90;18/28564;1,45357868075163e-03;4,14369484197827e-02;3,22155794133417e-02;329260/18762;2;Dennd1b/Prkcz
TprogWTopen;GO:1905939;regulation of gonad development;2/90;18/28564;1,45357868075163e-03;4,14369484197827e-02;3,22155794133417e-02;12394/17684;2;Runx1/Cited2
TprogWTopen;GO:0030214;hyaluronan catabolic process;2/90;19/28564;1,62126340594031e-03;4,43927519442341e-02;3,45135990987571e-02;83921/12505;2;Cemip2/Cd44
TprogWTopen;GO:0070486;leukocyte aggregation;2/90;19/28564;1,62126340594031e-03;4,43927519442341e-02;3,45135990987571e-02;16423/12505;2;Cd47/Cd44
TprogWTopen;GO:1905664;regulation of calcium ion import across plasma membrane;2/90;19/28564;1,62126340594031e-03;4,43927519442341e-02;3,45135990987571e-02;19055/14360;2;Ppp3ca/Fyn
TprogWTopen;GO:0002763;positive regulation of myeloid leukocyte differentiation;3/90;74/28564;1,66812140874127e-03;4,50826058648128e-02;3,50499330859239e-02;16416/19055/12394;3;Itgb3/Ppp3ca/Runx1
TprogWTopen;GO:0002429;immune response-activating cell surface receptor signaling pathway;5/90;272/28564;1,71620993419748e-03;4,56225822739752e-02;3,54697432687219e-02;18803/50723/16423/329260/14360;5;Plcg1/Icosl/Cd47/Dennd1b/Fyn
TprogWTopen;GO:0043270;positive regulation of monoatomic ion transport;5/90;274/28564;1,77201292680423e-03;4,56225822739752e-02;3,54697432687219e-02;18803/12766/432442/19055/93692;5;Plcg1/Cxcr3/Akap7/Ppp3ca/Glrx
TprogWTopen;GO:0032656;regulation of interleukin-13 production;2/90;20/28564;1,79771828278038e-03;4,56225822739752e-02;3,54697432687219e-02;16364/18762;2;Irf4/Prkcz
TprogWTopen;GO:0036120;cellular response to platelet-derived growth factor stimulus;2/90;20/28564;1,79771828278038e-03;4,56225822739752e-02;3,54697432687219e-02;16416/14360;2;Itgb3/Fyn
TprogWTopen;GO:0051580;regulation of neurotransmitter uptake;2/90;20/28564;1,79771828278038e-03;4,56225822739752e-02;3,54697432687219e-02;16416/65106;2;Itgb3/Arl6ip5
TprogWTopen;GO:0002824;positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains;4/90;164/28564;1,82396614820071e-03;4,57310066795864e-02;3,55540389319529e-02;16992/329260/77777/18762;4;Lta/Dennd1b/Ulbp1/Prkcz
TprogWTopen;GO:2000514;regulation of CD4-positive, alpha-beta T cell activation;3/90;77/28564;1,86962167090002e-03;4,62128924114164e-02;3,59286859234412e-02;18762/12394/12505;3;Prkcz/Runx1/Cd44
TprogWTopen;GO:0034764;positive regulation of transmembrane transport;5/90;278/28564;1,88760012252302e-03;4,62128924114164e-02;3,59286859234412e-02;18803/12766/432442/19055/93692;5;Plcg1/Cxcr3/Akap7/Ppp3ca/Glrx
TprogWTopen;GO:0032970;regulation of actin filament-based process;6/90;411/28564;1,92767827887889e-03;4,66453313761276e-02;3,62648900200350e-02;16416/16423/544963/14613/73112/20194;6;Itgb3/Cd47/Iqgap2/Gja5/Abracl/S100a10
TprogWTopen;GO:0032616;interleukin-13 production;2/90;21/28564;1,98288762338697e-03;4,70883887697769e-02;3,66093495228241e-02;16364/18762;2;Irf4/Prkcz
TprogWTopen;GO:0002708;positive regulation of lymphocyte mediated immunity;4/90;168/28564;1,99124373461815e-03;4,70883887697769e-02;3,66093495228241e-02;16992/329260/77777/18762;4;Lta/Dennd1b/Ulbp1/Prkcz
TprogWTopen;GO:0002768;immune response-regulating cell surface receptor signaling pathway;5/90;283/28564;2,03974195258611e-03;4,76932921722663e-02;3,70796378607316e-02;18803/50723/16423/329260/14360;5;Plcg1/Icosl/Cd47/Dennd1b/Fyn
TprogWTopen;GO:0045123;cellular extravasation;3/90;81/28564;2,16100372576652e-03;4,99672083702236e-02;3,88475172690425e-02;16423/20345/109934;3;Cd47/Selplg/Abr
TprogKOopen;GO:0022408;negative regulation of cell-cell adhesion;9/179;211/28564;7,91931872543500e-06;1,89271717537896e-02;1,71640813217586e-02;16768/193385/11846/15507/16190/140474/11898/56838/11350;9;Lag3/Ripor2/Arg1/Hspb1/Il4ra/Muc4/Ass1/Ccl28/Abl1
TprogKOopen;GO:1903038;negative regulation of leukocyte cell-cell adhesion;7/179;151/28564;4,87530699530872e-05;4,93766556968941e-02;4,47771566086346e-02;16768/193385/11846/15507/16190/11898/56838;7;Lag3/Ripor2/Arg1/Hspb1/Il4ra/Ass1/Ccl28
TprogKOopen;GO:0007159;leukocyte cell-cell adhesion;11/179;420/28564;7,42565422030167e-05;4,93766556968941e-02;4,47771566086346e-02;16768/193385/11846/15507/13136/16190/15505/57783/11898/56838/11350;11;Lag3/Ripor2/Arg1/Hspb1/Cd55/Il4ra/Hsph1/Tnip1/Ass1/Ccl28/Abl1
TprogKOopen;GO:0010882;regulation of cardiac muscle contraction by calcium ion signaling;3/179;14/28564;8,37215942492613e-05;4,93766556968941e-02;4,47771566086346e-02;21954/208727/11931;3;Tnni3/Hdac4/Atp1b1
TprogKOopen;GO:0003012;muscle system process;11/179;436/28564;1,03298442880532e-04;4,93766556968941e-02;4,47771566086346e-02;238130/21954/15558/208727/67731/228139/83814/75547/17901/11931/11435;11;Dock4/Tnni3/Htr2a/Hdac4/Fbxo32/P2rx3/Nedd4l/Akap13/Myl1/Atp1b1/Chrna1
nonTprogWTopen;GO:0030098;lymphocyte differentiation;37/551;478/28564;1,01079886017060e-12;4,57992963543300e-09;3,41118015337574e-09;57765/12193/277360/16952/12502/432763/16184/16364/21947/16182/12611/16194/240354/210293/12501/230405/16197/15289/54672/19271/53314/18129/239985/94176/108655/22417/12775/18762/12578/11350/12505/12393/16193/67596/13655/13024/12394;37;Tbx21/Zfp36l2/Prex1/Anxa1/Cd3g/Prr7/Il2ra/Irf4/Cd40lg/Il18r1/Cebpg/Il6ra/Malt1/Dock10/Cd3e/Ifne/Il7r/Hmgb1/Adgrg3/Ptprj/Batf/Notch2/Arid1b/Dock2/Foxp1/Wnt4/Ccr7/Prkcz/Cdkn2a/Abl1/Cd44/Runx2/Il6/Tespa1/Egr3/Ctla2a/Runx1
nonTprogWTopen;GO:0030217;T cell differentiation;30/551;331/28564;2,91811932348003e-12;6,61099932734402e-09;4,92394239530368e-09;57765/12193/277360/16952/12502/432763/16184/16364/16182/16194/240354/12501/16197/15289/53314/239985/94176/108655/22417/12775/18762/12578/11350/12505/12393/16193/67596/13655/13024/12394;30;Tbx21/Zfp36l2/Prex1/Anxa1/Cd3g/Prr7/Il2ra/Irf4/Il18r1/Il6ra/Malt1/Cd3e/Il7r/Hmgb1/Batf/Arid1b/Dock2/Foxp1/Wnt4/Ccr7/Prkcz/Cdkn2a/Abl1/Cd44/Runx2/Il6/Tespa1/Egr3/Ctla2a/Runx1
nonTprogWTopen;GO:1902105;regulation of leukocyte differentiation;28/551;359/28564;5,13666692396632e-10;7,75807927749713e-07;5,77829970464422e-07;57765/12193/16878/16952/50754/16184/21947/240354/19645/14159/16197/15289/27220/18129/18996/239985/108655/234515/12775/18762/12578/11350/12505/16193/67596/13655/13024/12394;28;Tbx21/Zfp36l2/Lif/Anxa1/Fbxw7/Il2ra/Cd40lg/Malt1/Rb1/Fes/Il7r/Hmgb1/Cartpt/Notch2/Pou4f1/Arid1b/Foxp1/Inpp4b/Ccr7/Prkcz/Cdkn2a/Abl1/Cd44/Il6/Tespa1/Egr3/Ctla2a/Runx1
nonTprogWTopen;GO:0043547;positive regulation of GTPase activity;23/551;259/28564;1,54038111249966e-09;1,74486670518399e-06;1,29959522280892e-06;232201/13609/19417/277360/21838/100855/217944/210293/192197/218038/229877/218397/192786/544817/13196/22417/109934/20290/12775/20194/29809/20305/26921;23;Arhgap25/S1pr1/Rasgrf1/Prex1/Thy1/Tbc1d14/Rapgef5/Dock10/Bcas3/Amph/Rap1gds1/Rasa1/Rapgef6/Arhgap27/Asap1/Wnt4/Abr/Ccl1/Ccr7/S100a10/Rabgap1l/Ccl6/Map4k4
nonTprogWTopen;GO:0035710;CD4-positive, alpha-beta T cell activation;16/551;127/28564;3,36909339017244e-09;2,55089935766003e-06;1,89993688872168e-06;57765/16952/16184/16364/16182/16194/240354/12501/15289/53314/108655/12775/18762/12505/16193/12394;16;Tbx21/Anxa1/Il2ra/Irf4/Il18r1/Il6ra/Malt1/Cd3e/Hmgb1/Batf/Foxp1/Ccr7/Prkcz/Cd44/Il6/Runx1
nonTprogWTopen;GO:0002366;leukocyte activation involved in immune response;25/551;317/28564;3,49230738268892e-09;2,55089935766003e-06;1,89993688872168e-06;57765/77125/16952/18124/55982/16364/21947/16182/16194/240354/210293/50723/230405/14159/15289/53314/18129/94176/108655/109934/12775/18762/11350/16193/16783;25;Tbx21/Il33/Anxa1/Nr4a3/Paxip1/Irf4/Cd40lg/Il18r1/Il6ra/Malt1/Dock10/Icosl/Ifne/Fes/Hmgb1/Batf/Notch2/Dock2/Foxp1/Abr/Ccr7/Prkcz/Abl1/Il6/Lamp1
nonTprogWTopen;GO:1903706;regulation of hemopoiesis;30/551;447/28564;4,30753621996370e-09;2,55089935766003e-06;1,89993688872168e-06;57765/12193/16878/16952/50754/16184/21947/240354/268936/19645/14159/16197/15289/27220/18129/18996/239985/108655/234515/12775/18762/12578/11350/12505/16193/67596/74244/13655/13024/12394;30;Tbx21/Zfp36l2/Lif/Anxa1/Fbxw7/Il2ra/Cd40lg/Malt1/Brpf3/Rb1/Fes/Il7r/Hmgb1/Cartpt/Notch2/Pou4f1/Arid1b/Foxp1/Inpp4b/Ccr7/Prkcz/Cdkn2a/Abl1/Cd44/Il6/Tespa1/Atg7/Egr3/Ctla2a/Runx1
nonTprogWTopen;GO:0002263;cell activation involved in immune response;25/551;321/28564;4,50390528829844e-09;2,55089935766003e-06;1,89993688872168e-06;57765/77125/16952/18124/55982/16364/21947/16182/16194/240354/210293/50723/230405/14159/15289/53314/18129/94176/108655/109934/12775/18762/11350/16193/16783;25;Tbx21/Il33/Anxa1/Nr4a3/Paxip1/Irf4/Cd40lg/Il18r1/Il6ra/Malt1/Dock10/Icosl/Ifne/Fes/Hmgb1/Batf/Notch2/Dock2/Foxp1/Abr/Ccr7/Prkcz/Abl1/Il6/Lamp1
nonTprogWTopen;GO:0046631;alpha-beta T cell activation;19/551;191/28564;6,42132606627386e-09;3,23278093403188e-06;2,40780951678059e-06;57765/16952/432763/16184/16364/16182/16194/240354/12501/15289/53314/94176/108655/12775/18762/11350/12505/16193/12394;19;Tbx21/Anxa1/Prr7/Il2ra/Irf4/Il18r1/Il6ra/Malt1/Cd3e/Hmgb1/Batf/Dock2/Foxp1/Ccr7/Prkcz/Abl1/Cd44/Il6/Runx1
