consensus;gencode_chr;gencode_start;gencode_end;gencode_gene_name;gencode_characterization;homer_Annotation;homer_Gene.Name;KO1_Tterm;KO2_Tterm;KO3_Tterm;WT1_Tterm;WT2_Tterm;WT3_Tterm;normalized_KO1_Tterm;normalized_KO2_Tterm;normalized_KO3_Tterm;normalized_WT1_Tterm;normalized_WT2_Tterm;normalized_WT3_Tterm;baseMean__group_KO_Tterm_vs_WT_Tterm;log2FoldChange__group_KO_Tterm_vs_WT_Tterm;lfcSE__group_KO_Tterm_vs_WT_Tterm;pvalue__group_KO_Tterm_vs_WT_Tterm;padj__group_KO_Tterm_vs_WT_Tterm
CONS00000106529;chr7;143626102;143626650;Tnfrsf26;gene_body;intron (NM_175649, intron 1 of 7);Tnfrsf26;43;25;33;69;100;75;32.4470349951366;26.1271724352979;29.5038089207393;78.7820393211795;95.3651268732753;68.1485303267605;64.2516679676204;-1.13381211976002;0.271462728568405;1.29717177073927E-07;5.47715817961753E-05
CONS00000107723;chr8;34654638;34655248;Dusp4;intergenic;Intergenic;B930018H19Rik;39;33;45;82;103;97;29.4287061583797;34.4878676145932;40.232466710099;93.6250322367641;98.2260806794736;88.138765889277;62.9528900586052;-1.13271467960837;0.263468700237429;8.56290379871103E-08;4.11103290554948E-05
CONS00000106475;chr7;142994869;142995580;Tspan32;distal;Intergenic;Tspan32;65;43;45;90;145;122;49.0478435972995;44.9387365887123;40.232466710099;102.759181723278;138.279433966249;110.854942664864;74.9264795203446;-1.1111686264862;0.256916505081494;8.16588862326962E-08;4.07755147484395E-05
CONS00000098316;chr6;129405937;129406482;Clec1b;gene_body;TTS (NM_001204253);Clec9a;26;25;37;55;84;96;19.6191374389198;26.1271724352979;33.0800281838592;62.7972777197808;80.1067065735513;87.2301188182535;49.9450285412751;-1.10344663263424;0.327411487131325;1.44820803467223E-06;0.00033308294992
CONS00000032240;chr13;60936348;60937009;Ctla2a;TSS;promoter-TSS (NM_001145799);Ctla2a;76;60;78;140;188;160;57.3482478983809;62.7052138447149;69.7362756308383;159.847616013987;179.286438521758;145.383531363756;102.194262666731;-1.1027956877972;0.244868248924978;4.29699193337147E-08;2.56982733362632E-05
CONS00000053935;chr17;79093108;79093763;Qpct;intergenic;Intergenic;Qpct;73;34;57;127;124;111;55.0845012708133;35.5329545120051;50.9611244994587;145.004623098403;118.252757322861;100.859824883606;111.983030414753;-1.08920676993734;0.249225711897621;7.17906764810931E-08;3.74200668281955E-05
CONS00000106994;chr8;13162006;13162507;Lamp1;gene_body;intron (NM_010684, intron 1 of 8);Lamp1;33;18;26;62;72;55;24.9012129032444;18.8115641534145;23.2454252102794;70.7896585204802;68.6628913487582;49.9755889062911;45.5915734584068;-1.08707614411915;0.309507643232212;1.07334205713988E-06;0.00026285314214
CONS00000113068;chr9;32537907;32538564;Fli1;gene_body;intron (NM_008026, intron 1 of 8);Fli1;51;20;46;77;112;83;38.4836926686504;20.9017379482383;41.126521525879;87.9161888076931;106.808942098068;75.4177068949483;66.4737854932046;-1.0750382144172;0.285668392707476;5.47890741360394E-07;0.000160455734383
CONS00000114654;chr9;61215846;61216619;Tle3;intergenic;Intergenic;B930092H01Rik;71;42;33;77;127;126;53.5753368524348;43.8936496913004;29.5038089207393;87.9161888076931;121.11371112906;114.489530948958;105.320309607103;-1.07333542417901;0.258269273910879;1.56494457367012E-07;6.39657021245093E-05
CONS00000051658;chr17;35114073;35114574;Ly6g5b;gene_body;3' UTR (NM_148939, exon 3 of 3);Ly6g5b;17;31;15;51;64;64;12.8278975562168;32.3976938197694;13.4108222366997;58.230202976524;61.0336811988962;58.1534125455023;37.3787569846861;-1.07025288031666;0.366096579476973;4.44458322596404E-06;0.000758315303253
CONS00000008760;chr1;193421336;193422258;Camk1g;intergenic;Intergenic;Camk1g;53;33;46;96;92;103;39.9928570870288;34.4878676145932;41.126521525879;109.609793838163;87.7359167234133;93.5906483154178;90.0666770318912;-1.06428996422503;0.252651883072077;1.30144566443433E-07;5.47715817961753E-05
CONS00000041444;chr15;51899032;51899590;Utp23;intergenic;Intergenic;Utp23;23;10;12;31;48;57;17.3553908113521;10.4508689741191;10.7286577893597;35.3948292602401;45.7752608991722;51.792883048338;30.5473551933433;-1.06321838609404;0.40560856723694;7.50908637799875E-06;0.001117990980416
CONS00000015667;chr10;129696448;129697009;Olfr803;distal;Intergenic;Olfr803;20;18;23;46;54;60;15.0916441837845;18.8115641534145;20.5632607629395;52.521359547453;51.4971685115687;54.5188242614084;34.3686689849746;-1.05297433252271;0.348387210237122;3.96850489640066E-06;0.000713225353378
CONS00000041105;chr15;38142963;38143917;Ubr5;intergenic;Intergenic;Ubr5;56;44;45;81;144;99;42.2566037145965;45.9838234861243;40.232466710099;92.4832635509499;137.325782697516;89.9560600313239;68.696863917016;-1.05022147323405;0.25932201417862;2.3109796853808E-07;8.36294973407072E-05
CONS00000078318;chr3;153863731;153864310;Msh4;gene_body;intron (NM_031870, intron 17 of 19);Asb17os;40;30;22;59;75;92;30.1832883675689;31.3526069223574;19.6692059471595;67.3643524630376;71.5238451549565;83.5955305341596;43.6760690898722;-1.03763229157191;0.323650873021667;2.77023945488018E-06;0.000550318722479
CONS00000053710;chr17;74351600;74352101;Spast;gene_body;intron (NM_001357738, intron 1 of 15);Spast;15;12;15;34;68;37;11.3187331378383;12.541042768943;13.4108222366997;38.8201353176827;64.8482862738272;33.6199416278685;26.26693900613;-1.03538940041859;0.439805401051526;1.19372573126296E-05;0.001599564325984
CONS00000029580;chr13;12507328;12507948;Edaradd;gene_body;intron (NM_133643, intron 2 of 5);Edaradd;38;17;51;66;106;89;28.6741239491905;17.7664772560026;45.5967956047789;75.3567332637369;101.087034485672;80.8695893210892;57.1831591117242;-1.03515171207531;0.331197686911808;3.39207957636806E-06;0.000631872134857
CONS00000111780;chr8;124509023;124509642;Cog2;intergenic;Intergenic;Cog2;27;16;55;75;95;64;20.373719648109;16.7213903585906;49.1730148678988;85.6326514360647;90.5968705296116;58.1534125455023;72.5539090898155;-1.03093241503768;0.318616453800195;2.63351727139706E-06;0.000532467202044
CONS00000033455;chr13;93592723;93593798;Bhmt;intergenic;Intergenic;Bhmt;82;55;62;108;131;170;61.8757411535163;57.4797793576553;55.4313985783586;123.311018067933;124.928316203991;154.470002073991;101.469331399817;-1.02280478049439;0.214861054685022;1.59938187622788E-08;1.2236475940253E-05
CONS00000050470;chr17;24349117;24349618;Abca17;gene_body;intron (NM_001031621, intron 1 of 30);Abca17;52;37;34;66;101;115;39.2382748778396;38.6682152042409;30.3978637365192;75.3567332637369;96.3187781420081;104.4944131677;52.2596156734618;-1.01925697062538;0.291919791869918;1.36985637801574E-06;0.000322939378079
CONS00000023365;chr11;116694213;116694939;St6galnac2;TSS_proximal;promoter-TSS (NM_009180);St6galnac2;27;25;31;71;72;53;20.373719648109;26.1271724352979;27.7156992891793;81.0655766928079;68.6628913487582;48.1582947642441;48.1192839225219;-1.01801198392667;0.317701344676154;2.97175155731132E-06;0.00057445738059
CONS00000082043;chr4;108309217;108309718;Zyg11b;distal;Intergenic;Zyg11b;23;13;21;67;45;42;17.3553908113521;13.5861296663549;18.7751511313795;76.4985019495511;42.9143070929739;38.1631769829859;31.4426002699905;-1.01679032819954;0.390858723504957;1.04961145399736E-05;0.001447419290264
CONS00000081280;chr4;89175137;89176101;Mtap;gene_body;intron (NM_024433, intron 6 of 7);Mtap;43;28;57;84;86;113;32.4470349951366;29.2624331275336;50.9611244994587;95.9085696083925;82.0140091110168;102.677119025653;86.9780107911538;-1.01329548476512;0.277463516076052;8.65193896087112E-07;0.000222695654249
CONS00000095069;chr6;65611737;65612287;Tnip3;gene_body;intron (NM_001001495, intron 6 of 7);Tnip3;34;13;34;63;78;55;25.6557951124336;13.5861296663549;30.3978637365192;71.9314272062944;74.3847989611548;49.9755889062911;41.4560036872511;-1.00566452807599;0.34420737510712;6.06590287567971E-06;0.000952028375364
CONS00000015036;chr10;120191091;120192045;Irak3;gene_body;intron (NM_001359184, intron 1 of 11);Irak3;80;36;34;115;99;118;60.3665767351378;37.6231283068289;30.3978637365192;131.303398868633;94.4114756045426;107.22035438077;73.7022188188366;-0.996245845079294;0.305799280682956;2.75643536537452E-06;0.000549497808013
CONS00000070059;chr2;152775308;152776004;Cox4i2;intergenic;intron (NM_001289739, intron 2 of 4);Cox4i2;59;45;57;102;111;118;44.5203503421642;47.0289103835362;50.9611244994587;116.460405953048;105.855290829336;107.22035438077;66.8810602863872;-0.988777014859021;0.239843435070082;1.86438247056224E-07;7.35589514340234E-05
CONS00000038035;chr14;69978853;69979412;Pebp4;gene_body;intron (NM_028560, intron 4 of 6);Egr3;52;47;83;108;146;122;39.2382748778396;49.11908417836;74.2065497097381;123.311018067933;139.233085234982;110.854942664864;93.1526238790414;-0.977602947813137;0.244199249292851;2.83930297810509E-07;9.83628040860003E-05
CONS00000013939;chr10;96204111;96204694;Gm5426;intergenic;Intergenic;4930459C07Rik;44;26;34;73;95;66;33.2016172043258;27.1722593327098;30.3978637365192;83.3491140644363;90.5968705296116;59.9707066875493;45.5677522885697;-0.975820245128586;0.314799780235072;4.40857417794833E-06;0.000754437174458
CONS00000097160;chr6;114677708;114678384;Atg7;gene_body;exon (NM_028835, exon 4 of 19);Atg7;54;37;43;93;98;99;40.747439296218;38.6682152042409;38.444357078539;106.18448778072;93.4578243358098;89.9560600313239;67.0575230477959;-0.973447036650355;0.28952853126431;2.17690231123409E-06;0.000461495167212
CONS00000105841;chr7;132772880;132773539;Fam53b;gene_body;intron (NM_175268, intron 2 of 4);Fam53b;74;48;47;106;123;103;55.8390834800025;50.1641710757719;42.0205763416589;121.027480696305;117.299106054129;93.5906483154178;117.876064195375;-0.966798513257983;0.223960282394557;8.99961205036149E-08;4.19108982492859E-05
CONS00000058595;chr18;89158983;89160242;Cd226;intergenic;Intergenic;Cd226;46;40;37;75;111;74;34.7107816227043;41.8034758964766;33.0800281838592;85.6326514360647;105.855290829336;67.2398832557371;91.7322464691403;-0.962196407131078;0.27335457354951;1.38979873609903E-06;0.000326286839634
CONS00000097683;chr6;121228219;121228720;Usp18;intergenic;Intergenic;Usp18;25;18;28;56;57;56;18.8645552297306;18.8115641534145;25.0335348418394;63.939046405595;54.3581223177669;50.8842359773145;51.8011505481266;-0.960177447899086;0.347657170849554;1.03895513760328E-05;0.001441975393616
CONS00000111307;chr8;120050843;120051578;Crispld2;gene_body;3' UTR (NM_030209, exon 15 of 15);Zdhhc7;79;57;76;122;151;150;59.6119945259486;59.5699531524792;67.9481659992783;139.295779669332;144.001341578646;136.297060653521;93.3452421121511;-0.954349621028305;0.236578852702756;2.53719540982205E-07;9.12346564614175E-05
CONS00000081191;chr4;88115119;88115945;Focad;gene_body;intron (NM_001081184, intron 1 of 43);Mir491;36;44;50;97;106;85;27.164959530812;45.9838234861243;44.7027407889989;110.751562523977;101.087034485672;77.2350010369953;60.8276911409917;-0.952660077674028;0.304782954072917;4.38585219406806E-06;0.000753160382148
CONS00000001196;chr1;39917757;39918635;Map4k4;gene_body;intron (NM_001252200, intron 2 of 31);Map4k4;146;133;136;213;277;310;110.169002541627;138.996557355785;121.591454946077;243.196730078424;264.161401438973;281.680592017277;215.752294348598;-0.949786322994674;0.196904856853018;1.09837991998724E-08;9.17712575795225E-06
CONS00000087495;chr5;64840379;64841290;Klf3;intergenic;Intergenic;Klf3;52;37;49;84;129;90;39.2382748778396;38.6682152042409;43.8086859732189;95.9085696083925;123.021013666525;81.7782363921126;57.4233185570503;-0.944538959241081;0.30870515610207;5.33660190056765E-06;0.000871261600519
CONS00000057107;chr18;61830660;61831252;Ablim3;gene_body;intron (NM_198649, intron 7 of 22);Afap1l1;20;16;22;44;42;64;15.0916441837845;16.7213903585906;19.6692059471595;50.2378221758246;40.0533532867756;58.1534125455023;37.3284277684861;-0.939900435028191;0.386708908707555;2.16410517211016E-05;0.002504147359541
CONS00000098034;chr6;126811378;126812274;Ndufa9;intergenic;Intergenic;Ndufa9;33;51;62;87;147;97;24.9012129032444;53.2994317680077;55.4313985783586;99.3338756658351;140.186736503715;88.138765889277;83.9835372803994;-0.937797010512028;0.31401964426909;6.57926094679834E-06;0.001018019614486
CONS00000059374;chr19;10934549;10935050;Ptgdr2;distal;Intergenic;Ptgdr2;21;25;22;53;61;53;15.8462263929737;26.1271724352979;19.6692059471595;60.5137403481524;58.172727392698;48.1582947642441;37.0090093389438;-0.934136862758421;0.365254862712797;1.77878854309512E-05;0.002159441689657
CONS00000020443;chr11;83605462;83606025;Ccl6;intergenic;intron (NR_036453, intron 2 of 8);Ccl6;53;64;52;99;157;116;39.9928570870288;66.8855614343626;46.4908504205588;113.035099895605;149.723249191042;105.403060238723;62.0834751160007;-0.93292808807894;0.302327039145839;5.12249560525474E-06;0.000846030778525
CONS00000015689;chr10;130322526;130323084;Tespa1;TSS;promoter-TSS (NM_183264);Tespa1;114;87;90;145;183;230;86.0223718475714;90.9225600748366;80.464933420198;165.556459443058;174.518182178094;208.988826335399;144.031041167425;-0.929185469620088;0.212159833836721;6.69276154054947E-08;3.55373127968522E-05
CONS00000028849;chr12;114059436;114060651;Ighv14-3;TSS_proximal;Intergenic;Mir7094-1;52;31;44;90;93;80;39.2382748778396;32.3976938197694;39.338411894319;102.759181723278;88.6895679921461;72.6917656818779;59.4147680434473;-0.923536682348488;0.291663064506639;4.17934934976055E-06;0.000732869547243
CONS00000102382;chr7;74663727;74664290;Slco3a1;intergenic;Intergenic;Slco3a1;26;11;25;38;104;43;19.6191374389198;11.4959558715311;22.3513703944994;43.3872100609395;99.1797319482063;39.0718240540094;40.3226852720877;-0.92163794967966;0.44322501585498;3.59267891163925E-05;0.003677802745311
CONS00000044840;chr15;102921120;102921662;Hoxc13;TSS_proximal;exon (NM_010464, exon 1 of 2);Hoxc13;29;17;27;45;63;64;21.8828840664875;17.7664772560026;24.1394800260594;51.3795908616388;60.0800299301635;58.1534125455023;35.9680777405691;-0.920186213671218;0.3559543434856;1.79537945769323E-05;0.002174935690594
CONS00000013239;chr10;85359347;85360036;Btbd11;intergenic;Intergenic;Btbd11;27;25;31;50;88;52;20.373719648109;26.1271724352979;27.7156992891793;57.0884342907098;83.9213116484823;47.2496476932206;68.0332578642218;-0.918250799208702;0.338232945534148;1.3623665494477E-05;0.001770826479601
CONS00000040742;chr15;31166170;31167415;Dap;intergenic;Intergenic;Dap;108;70;85;137;163;185;81.4948785924361;73.156082818834;75.9946593412981;156.422309956545;155.445156803439;168.099708139343;119.819813482937;-0.91116182216224;0.197013410606486;2.33987376630907E-08;1.63119400396803E-05
CONS00000011430;chr10;58463949;58464450;Ranbp2;gene_body;exon (NM_011240, exon 11 of 29);Ranbp2;40;20;18;55;82;63;30.1832883675689;20.9017379482383;16.0929866840396;62.7972777197808;78.1994040360858;57.2447654744789;34.299617639945;-0.909159295611979;0.400687576006998;3.31320122284886E-05;0.003447610393336
CONS00000086169;chr5;29887270;29888476;Il6;intergenic;Intergenic;Il6;91;39;54;89;142;128;68.6669810362193;40.7583889990647;48.2789600521188;101.617413037463;135.418480160051;116.306825091005;85.6131002764589;-0.903938146792884;0.259143982559756;1.61409098858384E-06;0.000361041651639
CONS00000032235;chr13;60848620;60849198;4930486L24Rik;gene_body;intron (NM_178098, intron 5 of 7);4930486L24Rik;77;39;61;98;137;119;58.1028301075702;40.7583889990647;54.5373437625786;111.893331209791;130.650223816387;108.129001451793;79.1671296498703;-0.9034292505387;0.275859954670512;3.14103817274076E-06;0.000594921303926
CONS00000087456;chr5;64496870;64497426;Klf3;intergenic;Intergenic;C030018K13Rik;39;29;46;63;118;68;29.4287061583797;30.3075200249455;41.126521525879;71.9314272062944;112.530849710465;61.7880008295962;59.249442019654;-0.903195142781378;0.321398670587325;1.14091040499853E-05;0.001547036388067
CONS00000083550;chr4;132771644;132772145;Rpa2;gene_body;exon (NM_011284, exon 4 of 9);Rpa2;38;19;56;62;113;88;28.6741239491905;19.8566510508264;50.0670696836787;70.7896585204802;107.762593366801;79.9609422500657;49.6391218961661;-0.90313397576418;0.355657547227285;2.12997257488231E-05;0.002479803111515
CONS00000102894;chr7;81928880;81929488;Hdgfl3;gene_body;intron (NM_013886, intron 1 of 5);Hdgfl3;35;25;27;56;84;50;26.4103773216228;26.1271724352979;24.1394800260594;63.939046405595;80.1067065735513;45.4323535511737;49.0978556377172;-0.900432152148181;0.327377862693059;1.33424024717955E-05;0.001750689599157
CONS00000006459;chr1;160396932;160397439;Rabgap1l;gene_body;intron (NM_013862, intron 17 of 20);Rabgap1l;21;12;21;35;48;64;15.8462263929737;12.541042768943;18.7751511313795;39.9619040034969;45.7752608991722;58.1534125455023;24.9315659529522;-0.899853120087988;0.416791923660534;4.02205982459252E-05;0.003946689618899
CONS00000058622;chr18;89304396;89304986;Dok6;gene_body;intron (NM_001039173, intron 7 of 7);Cd226;67;18;29;81;109;82;50.5570080156779;18.8115641534145;25.9275896576194;92.4832635509499;103.94798829187;74.5090598239249;55.0576035402899;-0.897758118483713;0.386901187613797;3.28769894334119E-05;0.003427350742494
CONS00000117327;chr9;108065384;108065920;Rnf123;gene_body;intron (NM_001311152, intron 21 of 38);Amigo3;54;43;36;92;78;95;40.747439296218;44.9387365887123;32.1859733680792;105.042719094906;74.3847989611548;86.32147174723;64.4212899114745;-0.89623175946683;0.273423619053831;3.14136040091322E-06;0.000594921303926
CONS00000109715;chr8;88305781;88306367;Adcy7;gene_body;intron (NM_001037724, intron 3 of 27);Adcy7;59;44;61;99;148;83;44.5203503421642;45.9838234861243;54.5373437625786;113.035099895605;141.140387772447;75.4177068949483;69.2259988677335;-0.887237050867528;0.283483907903489;4.95422949546152E-06;0.000825438559486
CONS00000099109;chr6;144602489;144603245;Sox5;gene_body;Intergenic;Sox5os3;28;13;18;43;41;56;21.1283018572982;13.5861296663549;16.0929866840396;49.0960534900104;39.0997020180429;50.8842359773145;38.712197233851;-0.886718890085564;0.37572250743017;3.26570541642343E-05;0.003410681125627
CONS00000104122;chr7;106644251;106645094;Olfr693;intergenic;promoter-TSS (NM_001277179);Gm1966;118;77;83;160;215;145;89.0407006843283;80.4716911007175;74.2065497097381;182.682989730271;205.035022777542;131.753825298404;114.356196525092;-0.886022796336594;0.234533074600018;6.04660537778456E-07;0.000170068259673
CONS00000085712;chr5;21122825;21123847;Gsap;intergenic;Intergenic;Gsap;18;17;17;46;45;29;13.582479765406;17.7664772560026;15.1989318682596;52.521359547453;42.9143070929739;26.3507650596807;54.1157103099317;-0.885141053401372;0.361965011599161;2.80069759930838E-05;0.003019385846389
CONS00000112352;chr9;13443399;13444016;Maml2;gene_body;Intergenic;Phxr4;71;39;53;74;118;129;53.5753368524348;40.7583889990647;47.3849052363388;84.4908827502505;112.530849710465;117.215472162028;69.4851627798663;-0.882976404098772;0.267488363324;2.96570276267254E-06;0.00057445738059
CONS00000103933;chr7;102317651;102318289;Stim1;gene_body;intron (NM_009287, intron 1 of 11);Stim1;75;38;47;93;144;89;56.5936656891917;39.7133021016528;42.0205763416589;106.18448778072;137.325782697516;80.8695893210892;62.8064847687821;-0.879288566521717;0.303376248974723;9.68822111602694E-06;0.001365061486236
CONS00000052049;chr17;44555827;44556367;Runx2;gene_body;intron (NR_073425, intron 5 of 5);Runx2;32;30;26;44;67;78;24.1466306940551;31.3526069223574;23.2454252102794;50.2378221758246;63.8946350050945;70.874471539831;64.4580678411231;-0.878098459502028;0.315984295720264;1.33307611641692E-05;0.001750689599157
CONS00000071551;chr2;172407435;172408401;Cass4;gene_body;intron (NM_001276422, intron 1 of 5);Cass4;71;54;62;103;121;135;53.5753368524348;56.4346924602434;55.4313985783586;117.602174638862;115.391803516663;122.667354588169;78.2723719797707;-0.87763665442868;0.249928531521005;1.50717628939997E-06;0.000341156258495
CONS00000082259;chr4;114899509;114900010;Foxd2;distal;Intergenic;Foxd2;23;15;17;55;50;37;17.3553908113521;15.6763034611787;15.1989318682596;62.7972777197808;47.6825634366377;33.6199416278685;28.6879644826958;-0.876752237688418;0.413205661044303;4.91632776929035E-05;0.004586554387721
CONS00000018480;chr11;59404069;59404750;Prss38;intergenic;Intergenic;Prss38;60;33;89;128;110;133;45.2749325513534;34.4878676145932;79.570878604418;146.146391784217;104.901639560603;120.850060446122;75.0162590290276;-0.874469492507056;0.303872915625834;1.03683397491978E-05;0.001441975393616
CONS00000072998;chr3;37940069;37941153;Gm5148;intergenic;intron (NR_040559, intron 2 of 3);Gm20755;57;28;41;67;84;99;43.0111859237857;29.2624331275336;36.6562474469791;76.4985019495511;80.1067065735513;89.9560600313239;72.2064354791538;-0.87370430524949;0.282910982102422;5.72218801637643E-06;0.000915791865212
CONS00000032237;chr13;60895315;60896121;Gm49392;gene_body;exon (NM_007797, exon 5 of 5);Ctla2b;74;49;44;83;125;110;55.8390834800025;51.2092579731838;39.338411894319;94.7668009225783;119.206408591594;99.9511778125821;87.6638822785189;-0.871410920882398;0.249745220934149;1.62500801375853E-06;0.000362058158046
CONS00000097161;chr6;114679396;114679897;Atg7;gene_body;intron (NM_001253717, intron 5 of 19);Atg7;34;16;38;57;109;50;25.6557951124336;16.7213903585906;33.9740829996392;65.0808150914092;103.94798829187;45.4323535511737;44.3577472236188;-0.865019002267206;0.394760660777533;4.85944552395484E-05;0.004569038193312
CONS00000062338;chr19;60212210;60213205;Fam204a;gene_body;exon (NM_001358273, exon 6 of 8);Fam204a;77;44;61;94;128;126;58.1028301075702;45.9838234861243;54.5373437625786;107.326256466534;122.067362397792;114.489530948958;74.6629522757719;-0.862372311058993;0.26084696709825;2.96818652021006E-06;0.00057445738059
CONS00000111254;chr8;119569807;119570392;Hsdl1;TSS_proximal;intron (NM_175185, intron 1 of 4);Hsdl1;14;29;20;35;82;44;10.5641509286491;30.3075200249455;17.8810963155996;39.9619040034969;78.1994040360858;39.9804711250328;80.0642319286372;-0.858567089776284;0.392557242337314;5.08403307655202E-05;0.004675075347848
CONS00000030708;chr13;36731495;36732049;Nrn1;TSS;intron (NM_153529, intron 1 of 2);Nrn1;29;21;26;46;63;57;21.8828840664875;21.9468248456502;23.2454252102794;52.521359547453;60.0800299301635;51.792883048338;46.2106846530361;-0.858463598386065;0.340320779284351;2.66425010111253E-05;0.002905362178401
CONS00000038307;chr14;73596343;73597272;Nudt15;intergenic;TTS (NM_011506);Sucla2;36;29;36;77;69;66;27.164959530812;30.3075200249455;32.1859733680792;87.9161888076931;65.80193754256;59.9707066875493;47.0440456066871;-0.85725965159293;0.324717769230264;2.02246239064149E-05;0.002379010366963
CONS00000042151;chr15;64210525;64211113;Asap1;gene_body;intron (NM_010026, intron 3 of 30);Asap1;48;32;49;63;76;117;36.2199460410827;33.4427807171813;43.8086859732189;71.9314272062944;72.4774964236892;106.311707309746;105.831700166978;-0.856336927184803;0.281462401489892;6.74211120062304E-06;0.001034977792006
CONS00000067549;chr2;103651896;103652556;Abtb2;gene_body;intron (NM_178890, intron 1 of 16);Abtb2;31;22;37;73;76;46;23.3920484848659;22.9919117430621;33.0800281838592;83.3491140644363;72.4774964236892;41.7977652670798;51.9790265314735;-0.856330428355193;0.345204158713713;2.95316596204296E-05;0.00315977634903
CONS00000106980;chr8;12977079;12977942;Mcf2l;gene_body;intron (NM_001159486, intron 3 of 29);Mcf2l;44;53;57;87;102;107;33.2016172043258;55.3896055628315;50.9611244994587;99.3338756658351;97.2724294107408;97.2252365995117;86.5817841217108;-0.855281926776074;0.253995045272449;2.44299408400111E-06;0.000508420179057
CONS00000105408;chr7;127031340;127031841;Kif22;gene_body;intron (NM_145588, intron 8 of 13);Maz;47;48;29;68;109;83;35.4653638318935;50.1641710757719;25.9275896576194;77.6402706353653;103.94798829187;75.4177068949483;54.8918024883809;-0.853908608648172;0.312981214823024;1.63239925430895E-05;0.002038270483958
